Branche,Company_Name,Adresse,PLZ,Ort,Land,Telefon,Email,Website,Anrede,Vorname,Name,Title,Mitglied,Facebook,Twitter,Youtube,Linkedin,Instagram,Company Description
Werbeagenturen,Agence Trio,Rue Voltaire 1,1006,Lausanne,Schweiz,+41 21 614 60 00,info@trio.ch,trio.ch,Mr.,Michael,Kamm,CEO,leadingswissagencies.ch,https://www.facebook.com/agencetrio/,https://twitter.com/agencetrio,https://www.youtube.com/user/agencetrio,https://www.linkedin.com/company/243626/,,1931 gegründet ist Agence Trio die älteste Schweizer Kommunikationsagentur. Die Qualität unserer innovativen und zweisprachigen Full-Service-Agentur ist von LEADING SWISS AGENCIES anerkannt.,https://www.persoenlich.com/marktplatz/agence-trio-lausanne
Werbeagenturen,Blueheart AG,Gönhardweg 48,5001,Aarau,Schweiz,+41 62 832 55 00,info@blueheart.ch,blueheart.ch,Mr.,Gregor,Meyer,CEO,leadingswissagencies.ch,https://www.facebook.com/blueheartag/,,,https://www.linkedin.com/company/blueheart,https://www.instagram.com/blueheartag/,"Kommunikation, die trifft. Wir stehen für clever gemachte Werbung, die auch das Herz anspricht.",https://www.persoenlich.com/marktplatz/blueheart-ag-aarau
Mediaagenturen,dentsu Media Switzerland,Giessereistrasse 18,8005,Zürich,Schweiz,+41 44 365 25 65,hello.zuerich@dentsu.com,dentsu.com,Ms.,Lara,Jelinski,CEO,leadingswissagencies.ch,,,,https://www.linkedin.com/company/dentsu/?viewAsMember=true,,"Wir sind das Netzwerk, das Zukunft gestaltet.",https://www.persoenlich.com/marktplatz/dentsu-media-switzerland-zurich
Kommunikation,Farner Consulting AG,Löwenstrasse 2,8001,Zürich,Schweiz,+41 44 266 67 67,info@farner.ch,farner.ch,Mr.,Pablo,Koerfer,Co-CEO's,leadingswissagencies.ch,https://www.facebook.com/farnerconsulting,,,https://ch.linkedin.com/company/farner-schweiz,https://www.instagram.com/farnerschweiz/,Näher dran.,https://www.persoenlich.com/marktplatz/farner-consulting-ag-zurich
Werbeagenturen,KOMET Werbeagentur AG LSA,Uferweg 15,3013,Bern,Schweiz,+41 31 370 76 76,info@komet.ch,komet.ch,Ms.,Corinne,Hert,Geschäftsführerin Beratung,leadingswissagencies.ch,https://www.facebook.com/komet.ch/?ref=br_tf,,,https://www.linkedin.com/company/1481876/admin/,https://www.instagram.com/kometwerbeagentur/,"KOMET ist eine unabhängige Kreativagentur in Bern mit 16 Mitarbeitenden. Zu unseren nationalen und regionalen Kunden zählen unter anderem Visana, Swisslos, ewb und Tamedia.",https://www.persoenlich.com/marktplatz/komet-werbeagentur-ag-lsa-bern
Werbeagenturen,Maxomedia AG,Zinggstrasse 1,3007,Bern,Schweiz,+41 31 370 01 11,info@maxomedia.ch,maxomedia.ch,Mr.,Bernhard,Herzig,CEO,leadingswissagencies.ch,https://www.facebook.com/Maxomedia/,,https://www.youtube.com/channel/UCXTCYeUCIisx9NrwUOPNCEA,https://www.linkedin.com/company/maxomedia/,https://www.instagram.com/maxomedia.agency/,"Wir sind eine Fullservice-Werbeagentur aus Bern mit digitaler DNA. Wir glauben an Kommunikation, die Interaktionen schafft. Für uns ist das mehr als Dialog. Wir lösen mit guter Kommunikation Probleme.",https://www.persoenlich.com/marktplatz/maxomedia-ag-bern
Mediaagenturen,MediaCom AG Schweiz,Manessestrasse 85,8045,Zürich,Schweiz,+41 44 567 47 47,mediacom.switzerland@mediacom.com,mediacom.com,Mr.,Ben,Moser,CEO,leadingswissagencies.ch,https://www.facebook.com/mediacom.zurich/,,,https://www.linkedin.com/company/mediacom-schweiz-ag/,,"Hi, wir sind MediaCom. „See the Bigger Picture” ist unsere Vision, „People First, Better Results"" unsere Philosophie.",https://www.persoenlich.com/marktplatz/mediacom-ag-schweiz-zurich
Mediaagenturen,Mediaschneider AG,Zollikerstrasse 141,8034,Zürich,Schweiz,+41 44 387 52 72,info@mediaschneider.com,mediaschneider.com,Mr.,"Schneider,",Moritz,,leadingswissagencies.ch,https://www.facebook.com/Mediaschneider/,,,https://www.linkedin.com/company/9730582/,,Der unabhängige Schweizer Markenpartner mit integralem Mediamanagement.,https://www.persoenlich.com/marktplatz/mediaschneider-ag-zurich-1
Werbeagenturen,Ogilvy AG,Hardturmstrasse 133,8005,Zürich,Schweiz,044 268 63 63,info.ch@ogilvy.com,ogilvy.com,Mr.,Martin,Keller,Chief Executive Officer,leadingswissagencies.ch,,,,https://www.linkedin.com/company/ogilvy-schweiz-ag,https://www.instagram.com/ogilvy.switzerland,"Gründungsjahr: 1959
Anzahl Mitarbeitende: 55",https://www.persoenlich.com/marktplatz/ogilvy-ag-zurich
Marketing-Agenturen,Smple Creative Strategy,Pfarrgasse 30,8704,Herrliberg,Schweiz,+41 79 623 09 53,christoph.buerge@smple.ch,smple.ch,Mr.,Christoph,Bürge,,leadingswissagencies.ch,,,,,https://www.instagram.com/metzgerrottmannbuerge/,"Smple entwickelt Creative Strategies, die komplexe Aufgaben in Marketing und Kommunikation vereinfachen und aus unerwartetem Blickwinkel zu präzisen Ideen anregen.",https://www.persoenlich.com/marktplatz/smple-creative-strategy-herrliberg
